region,latitude,longitude,x_laea_m,y_laea_m,context_cells,nearest_grid_distance_m,farthest_context_distance_m,population,avg_household_size,ownership_rate_pct,vacancy_rate_pct,avg_dwelling_area_sqm,dwelling_count,household_size_uncertain,ownership_uncertain,vacancy_uncertain,dwelling_area_uncertain,rent_count_uncertain,stock_2022_age0_size0_eur_sqm,interval_age0_size0_half_width_eur_sqm,stock_2022_age0_size1_eur_sqm,interval_age0_size1_half_width_eur_sqm,stock_2022_age1_size0_eur_sqm,interval_age1_size0_half_width_eur_sqm,stock_2022_age1_size1_eur_sqm,interval_age1_size1_half_width_eur_sqm,period,year,quarter,rent_index,asking_mean_eur_sqm,asking_median_eur_sqm,asking_p25_eur_sqm,asking_p75_eur_sqm,index_qoq_pct,index_yoy_pct
Aachen,50.776351,6.083862,4044919,3081251,500,31.016125,1426.591042,135.000000,1.670000,5.515000,0.000000,61.485001,68.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.720977,2.876695,6.128754,2.318237,7.330225,3.477093,7.044169,3.001309,2026-Q1,2026,1,142.068222,11.570000,11.250000,9.800000,13.080000,0.892633,4.034870
Augsburg,48.369034,10.897952,4387558,2806577,500,73.437048,1554.668132,103.000000,1.760000,15.860001,0.000000,71.945000,43.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.461786,2.876695,7.728186,2.318237,9.348397,3.477093,8.873121,3.001309,2026-Q1,2026,1,168.092865,14.860000,14.410000,12.630000,16.500000,3.090400,5.904630
Berlin,52.517389,13.395131,4551381,3272947,500,194.858923,1700.167639,121.500000,1.630000,0.000000,0.000000,74.315002,57.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.784886,2.876695,7.267067,2.318237,10.076129,3.477093,9.849677,3.001309,2026-Q1,2026,1,163.323471,15.840000,15.500000,10.850000,19.990000,-1.754809,-0.482277
Bielefeld,52.019101,8.531007,4220163,3213141,500,15.811388,1518.765946,61.000000,1.710000,13.700000,0.000000,76.650002,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.246987,2.876695,6.459789,2.318237,7.902299,3.477093,7.574837,3.001309,2026-Q1,2026,1,146.738068,9.920000,9.850000,8.330000,11.310000,0.605666,1.448950
Bocholt,51.838271,6.614867,4087776,3197419,500,40.459857,1682.509138,52.000000,1.950000,38.279999,0.000000,92.259995,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.204641,2.876695,5.570394,2.318237,7.021340,3.477093,6.638205,3.001309,2026-Q1,2026,1,143.520020,9.940000,9.690000,8.560000,11.140000,1.008547,3.763997
Bochum,51.481811,7.219664,4127909,3156022,500,49.648766,1666.452820,79.000000,1.700000,8.330000,0.000000,68.904999,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.416662,2.876695,5.955736,2.318237,6.931722,3.477093,6.912989,3.001309,2026-Q1,2026,1,151.436584,9.470000,9.440000,8.000000,10.640000,-0.066850,4.684588
Bonn,50.735262,7.102463,4116498,3073340,500,49.030603,1510.497931,96.000000,1.650000,12.895000,0.000000,71.014999,46.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.042487,2.876695,6.260279,2.318237,7.608508,3.477093,7.237703,3.001309,2026-Q1,2026,1,146.064835,13.660000,13.440000,11.760000,15.380000,1.306619,3.464338
Braunschweig,52.264658,10.523607,4356748,3239577,500,27.073973,1465.651050,91.000000,1.665000,11.325000,0.000000,74.570000,43.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.058685,2.876695,6.763704,2.318237,7.443699,3.477093,7.224725,3.001309,2026-Q1,2026,1,133.282318,10.150000,10.000000,8.700000,11.360000,1.571920,3.668924
Bremen,53.075820,8.807165,4241056,3330368,500,107.517440,1655.886470,122.000000,1.680000,19.750000,2.360000,72.190002,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.275947,2.876695,7.642820,2.318237,8.850096,3.477093,8.484612,3.001309,2026-Q1,2026,1,149.416763,11.420000,11.250000,9.500000,13.240000,1.069561,2.205691
Chemnitz,50.832353,12.918914,4526582,3084193,500,53.600373,1575.523088,77.000000,1.720000,0.000000,8.719999,65.055000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.187979,2.876695,5.085739,2.318237,5.268876,3.477093,5.223744,3.001309,2026-Q1,2026,1,120.635796,6.190000,6.000000,5.500000,6.580000,0.925198,2.296976
Dortmund,51.514227,7.465279,4145083,3159005,500,55.803226,1484.760587,146.000000,1.710000,5.335000,1.635000,65.959999,71.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.325595,2.876695,5.849135,2.318237,6.805556,3.477093,6.835543,3.001309,2026-Q1,2026,1,153.375107,9.770000,9.510000,8.380000,11.000000,1.058137,3.258030
Dresden,51.049329,13.738144,4583003,3110929,500,51.478151,1950.756264,98.500000,1.720000,0.000000,0.000000,64.834999,54.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.639487,2.876695,6.436441,2.318237,7.692924,3.477093,7.557033,3.001309,2026-Q1,2026,1,142.470764,10.120000,9.530000,8.410000,11.330000,1.293979,5.290338
Duisburg,51.434999,6.759562,4095747,3152135,500,15.297059,2097.053647,93.000000,1.800000,6.820000,0.000000,68.714996,43.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.883168,2.876695,5.610930,2.318237,6.968383,3.477093,6.851946,3.001309,2026-Q1,2026,1,152.376587,8.540000,8.360000,7.330000,9.480000,1.931691,4.300366
Düsseldorf,51.225402,6.776314,4095885,3128784,500,48.795492,1655.349208,141.000000,1.600000,9.615000,2.215000,68.889999,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.988235,2.876695,9.331953,2.318237,10.459715,3.477093,10.400466,3.001309,2026-Q1,2026,1,151.958282,14.780000,14.300000,12.220000,16.670000,1.854321,4.379823
Erfurt,50.977797,11.028736,4393248,3096781,500,31.064449,1400.273188,116.000000,1.840000,5.610000,0.000000,71.720001,54.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.065276,2.876695,6.603968,2.318237,7.297965,3.477093,6.954117,3.001309,2026-Q1,2026,1,144.932510,10.120000,10.000000,8.570000,11.630000,2.669519,7.558640
Essen,51.458224,7.015817,4113654,3153958,500,92.086915,1923.767138,94.000000,1.755000,1.305000,0.000000,64.464996,46.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.609781,2.876695,6.279302,2.318237,6.920693,3.477093,6.929642,3.001309,2026-Q1,2026,1,149.565613,9.610000,9.470000,8.210000,10.720000,1.554524,3.942493
Frankfurt am Main,50.110644,8.682092,4226725,3000663,500,28.178006,1461.914498,122.000000,1.660000,9.330000,0.000000,72.035004,59.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.034307,2.876695,10.966572,2.318237,13.903072,3.477093,12.785926,3.001309,2026-Q1,2026,1,145.009430,17.710000,17.310000,14.680000,20.370000,1.167402,2.735046
Gelsenkirchen,51.511032,7.096012,4119456,3159605,500,45.398238,1533.316993,109.000000,2.010000,11.110000,3.030000,71.570000,43.500000,0.000000,0.000000,0.000000,0.000000,0.000000,5.489488,2.876695,5.211308,2.318237,5.861264,3.477093,5.693658,3.001309,2026-Q1,2026,1,145.927811,7.560000,7.420000,6.760000,8.140000,0.689299,3.254626
Hamburg,53.550172,10.001316,4321087,3382498,500,60.605280,2363.910531,90.000000,1.620000,1.865000,0.000000,71.274994,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.891305,2.876695,9.820715,2.318237,10.526445,3.477093,10.748737,3.001309,2026-Q1,2026,1,146.859924,16.350000,15.820000,12.810000,19.400000,1.553799,4.710418
Hamm,51.681281,7.819119,4170186,3176792,500,55.317267,1917.566166,60.000000,1.890000,16.670000,0.000000,76.989998,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.793792,2.876695,5.466097,2.318237,6.581370,3.477093,6.342517,3.001309,2026-Q1,2026,1,145.605560,8.330000,8.000000,7.080000,9.340000,1.251177,1.839772
Hannover,52.374478,9.738553,4303194,3251700,500,156.320184,1615.684375,111.500000,1.570000,9.840000,0.000000,69.910004,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.407887,2.876695,7.106529,2.318237,8.526819,3.477093,8.418692,3.001309,2026-Q1,2026,1,147.180054,11.770000,11.500000,10.000000,13.510000,1.221053,3.436575
Karlsruhe,49.006870,8.403420,4204169,2878343,500,20.248457,1762.047105,136.500000,1.860000,11.585000,0.000000,76.520004,58.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.731999,2.876695,7.822179,2.318237,9.790679,3.477093,9.137098,3.001309,2026-Q1,2026,1,143.079773,13.600000,13.040000,11.530000,15.060000,-0.114608,1.319582
Kiel,54.322708,10.135555,4329822,3468477,500,38.897301,1773.221080,113.000000,1.610000,4.655000,0.000000,62.764999,63.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.046612,2.876695,7.574950,2.318237,8.330233,3.477093,8.266788,3.001309,2026-Q1,2026,1,156.324768,11.540000,10.980000,9.840000,12.820000,-0.087489,3.156416
Kreis Mettmann,51.252969,6.977586,4110057,3131248,500,7.280110,3028.836905,51.000000,2.000000,38.674999,0.000000,91.184998,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.245002,2.876695,6.910108,2.318237,8.465070,3.477093,8.374094,3.001309,2026-Q1,2026,1,149.630280,10.810000,10.790000,9.080000,12.280000,0.700775,3.273892
Köln,50.938361,6.959974,4107381,3096325,500,39.824616,1646.203511,121.000000,1.460000,7.330000,0.000000,61.904999,63.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.841414,2.876695,10.119865,2.318237,11.801054,3.477093,11.322299,3.001309,2026-Q1,2026,1,155.206421,15.670000,15.050000,12.860000,18.280000,0.561016,4.908379
Leipzig,51.340632,12.374733,4486444,3139327,500,23.769729,1742.746396,122.000000,1.750000,0.000000,0.000000,76.740005,59.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.526495,2.876695,5.320236,2.318237,6.247267,3.477093,6.066291,3.001309,2026-Q1,2026,1,168.132324,10.410000,9.930000,8.500000,12.100000,1.114434,3.244242
Lübeck,53.866444,10.684738,4366053,3417907,500,57.078893,1697.014437,83.000000,1.680000,15.675000,0.000000,71.014999,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.762821,2.876695,7.314126,2.318237,8.209451,3.477093,7.990990,3.001309,2026-Q1,2026,1,162.643127,12.280000,11.970000,10.380000,14.000000,0.905567,4.879406
Mannheim,49.489291,8.467310,4209941,2931874,500,25.632011,1765.348974,160.000000,1.750000,9.485001,2.615000,68.615005,74.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.667435,2.876695,7.832574,2.318237,9.461107,3.477093,8.888924,3.001309,2026-Q1,2026,1,143.096466,12.590000,12.350000,10.200000,14.500000,0.520515,2.996620
Mönchengladbach,51.194713,6.435379,4071932,3126479,500,34.132096,1529.236738,79.000000,1.800000,15.390000,0.000000,72.910004,31.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.535654,2.876695,6.044504,2.318237,7.008475,3.477093,6.775253,3.001309,2026-Q1,2026,1,162.078171,10.000000,9.960000,8.820000,11.000000,1.391229,6.658846
München,48.137108,11.575382,4438299,2781646,500,107.782188,1653.244386,134.000000,1.580000,9.680000,0.000000,69.980003,66.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.760235,2.876695,10.130930,2.318237,12.418166,3.477093,11.906210,3.001309,2026-Q1,2026,1,154.072235,23.560000,23.000000,20.000000,26.520000,0.413427,3.254593
Münster,51.962510,7.625188,4157800,3208487,500,80.430094,1450.471992,100.000000,1.560000,9.770000,0.000000,70.550003,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.227945,2.876695,8.268834,2.318237,9.919358,3.477093,9.395532,3.001309,2026-Q1,2026,1,151.611694,14.270000,14.000000,11.680000,16.310000,1.890706,6.006068
Nürnberg,49.453872,11.077298,4399121,2927350,500,29.000000,1439.805890,134.500000,1.640000,13.230000,0.000000,67.964996,61.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.489065,2.876695,7.818317,2.318237,9.517771,3.477093,8.919020,3.001309,2026-Q1,2026,1,146.721939,12.910000,12.610000,10.970000,14.510000,1.044623,3.114650
Potsdam,52.400931,13.059140,4529146,3258986,500,36.221541,1909.479510,79.500000,1.860000,0.000000,0.000000,76.279999,37.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.397784,2.876695,7.117365,2.318237,9.324028,3.477093,9.193715,3.001309,2026-Q1,2026,1,165.764954,14.680000,14.180000,11.760000,17.480000,-0.504139,4.890186
Rhein-Erft-Kreis,50.903340,6.763334,4093402,3093025,500,133.899216,3719.345238,54.000000,2.070000,44.439999,0.000000,93.169998,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.097431,2.876695,7.699623,2.318237,8.687562,3.477093,8.445115,3.001309,2026-Q1,2026,1,155.089539,12.170000,12.050000,10.250000,13.830000,0.705297,4.807431
Stuttgart,48.778449,9.180013,4260716,2852017,500,275.036361,1567.751575,89.000000,1.880000,20.940001,0.000000,81.240005,32.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.305713,2.876695,10.293601,2.318237,12.603305,3.477093,11.992698,3.001309,2026-Q1,2026,1,143.147507,16.250000,15.870000,13.720000,18.460000,-0.156630,1.131086
Wiesbaden,50.082038,8.241656,4195150,2998143,500,7.000000,1410.549184,96.500000,1.770000,11.665000,0.000000,80.870003,41.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.878722,2.876695,9.042840,2.318237,10.932217,3.477093,10.299472,3.001309,2026-Q1,2026,1,143.306213,13.590000,13.280000,11.560000,15.150000,1.188505,4.654479
Wuppertal,51.264018,7.178037,4124086,3131917,500,48.836462,1767.649569,88.000000,1.840000,13.184999,0.000000,71.959999,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.931085,2.876695,5.569017,2.318237,6.937796,3.477093,6.824506,3.001309,2026-Q1,2026,1,152.441544,9.060000,8.850000,7.850000,10.000000,0.430325,3.281306
